"clinical_id","alias_code","sample_alias","run_accession","sample_accession","experiment_accession"
"KTN126","OPcell","KTN126OPcell417","SRR5969009","SAMN07553317","SRX3126287"
"KTN126","OPcell","KTN126OPcell421","SRR5969013","SAMN07553321","SRX3126283"
"KTN126","OPcell","KTN126OPcell458","SRR5969019","SAMN07553358","SRX3126277"
"KTN126","OPcell","KTN126OPcell296","SRR5969024","SAMN07553196","SRX3126272"
"KTN126","OPcell","KTN126OPcell295","SRR5969025","SAMN07553195","SRX3126271"
"KTN126","OPcell","KTN126OPcell302","SRR5969030","SAMN07553202","SRX3126266"
"KTN126","OPcell","KTN126OPcell288","SRR5969032","SAMN07553188","SRX3126264"
"KTN126","OPcell","KTN126OPcell464","SRR5969034","SAMN07553364","SRX3126262"
"KTN126","OPcell","KTN126OPcell350","SRR5969036","SAMN07553250","SRX3126260"
"KTN126","OPcell","KTN126OPcell346","SRR5969040","SAMN07553246","SRX3126256"
"KTN126","OPcell","KTN126OPcell329","SRR5969047","SAMN07553229","SRX3126249"
"KTN126","OPcell","KTN126OPcell425","SRR5969057","SAMN07553325","SRX3126239"
"KTN126","OPcell","KTN126OPcell355","SRR5969070","SAMN07553255","SRX3126226"
"KTN126","OPcell","KTN126OPcell361","SRR5969072","SAMN07553261","SRX3126224"
"KTN126","OPcell","KTN126OPcell360","SRR5969073","SAMN07553260","SRX3126223"
"KTN126","OPcell","KTN126OPcell462","SRR5969084","SAMN07553362","SRX3126212"
"KTN126","OPcell","KTN126OPcell440","SRR5969091","SAMN07553340","SRX3126205"
"KTN126","OPcell","KTN126OPcell284","SRR5969094","SAMN07553184","SRX3126202"
"KTN126","OPcell","KTN126OPcell281","SRR5969097","SAMN07553181","SRX3126199"
"KTN126","OPcell","KTN126OPcell137","SRR5959721","SAMN07544809","SRX3118222"
"KTN126","OPcell","KTN126OPcell70","SRR5959727","SAMN07544742","SRX3118216"
"KTN126","0cell","KTN1260cell245","SRR5959735","SAMN07544663","SRX3118208"
"KTN126","0cell","KTN1260cell242","SRR5959738","SAMN07544660","SRX3118205"
"KTN126","0cell","KTN1260cell241","SRR5959739","SAMN07544659","SRX3118204"
"KTN126","0cell","KTN1260cell250","SRR5959742","SAMN07544668","SRX3118201"
"KTN126","OPcell","KTN126OPcell222","SRR5959747","SAMN07544894","SRX3118196"
"KTN126","OPcell","KTN126OPcell225","SRR5959752","SAMN07544897","SRX3118191"
"KTN126","0cell","KTN1260cell62","SRR5959761","SAMN07544480","SRX3118182"
"KTN126","0cell","KTN1260cell155","SRR5959767","SAMN07544573","SRX3118176"
"KTN126","0cell","KTN1260cell158","SRR5959768","SAMN07544576","SRX3118175"
"KTN126","OPcell","KTN126OPcell43","SRR5959778","SAMN07544715","SRX3118165"
"KTN126","OPcell","KTN126OPcell46","SRR5959783","SAMN07544718","SRX3118160"
"KTN126","OPcell","KTN126OPcell233","SRR5959785","SAMN07544905","SRX3118158"
"KTN126","OPcell","KTN126OPcell232","SRR5959786","SAMN07544904","SRX3118157"
"KTN126","OPcell","KTN126OPcell231","SRR5959787","SAMN07544903","SRX3118156"
"KTN126","0cell","KTN1260cell208","SRR5959804","SAMN07544626","SRX3118139"
"KTN126","OPcell","KTN126OPcell118","SRR5959820","SAMN07544790","SRX3118123"
"KTN126","OPcell","KTN126OPcell19","SRR5959830","SAMN07544691","SRX3118113"
"KTN126","0cell","KTN1260cell55","SRR5959837","SAMN07544473","SRX3118106"
"KTN126","0cell","KTN1260cell52","SRR5959840","SAMN07544470","SRX3118103"
"KTN126","0cell","KTN1260cell51","SRR5959841","SAMN07544469","SRX3118102"
"KTN126","0cell","KTN1260cell111","SRR5959843","SAMN07544529","SRX3118100"
"KTN126","0cell","KTN1260cell114","SRR5959844","SAMN07544532","SRX3118099"
"KTN126","0cell","KTN1260cell116","SRR5959846","SAMN07544534","SRX3118097"
"KTN126","0cell","KTN1260cell115","SRR5959847","SAMN07544533","SRX3118096"
"KTN126","0cell","KTN1260cell27","SRR5959858","SAMN07544445","SRX3118085"
"KTN126","0cell","KTN1260cell28","SRR5959859","SAMN07544446","SRX3118084"
