"group","rank","gene_id","score"
"KTN132__pre_candidate",99,"ENSG00000214756",-4.96652620581441
"KTN132__pre_candidate",100,"ENSG00000144674",-4.96029069258387
"KTN302__mid_candidate",1,"ENSG00000012223",6.51694280940581
"KTN302__mid_candidate",2,"ENSG00000253755",6.01393490236184
"KTN302__mid_candidate",3,"ENSG00000091436",-5.31446001913207
"KTN302__mid_candidate",4,"ENSG00000204262",5.07979466864881
"KTN302__mid_candidate",5,"ENSG00000169248",5.01044050691312
"KTN302__mid_candidate",6,"ENSG00000198162",4.93782437155865
"KTN302__mid_candidate",7,"ENSG00000137959",4.85827473965458
"KTN302__mid_candidate",8,"ENSG00000099953",4.84026251849386
"KTN302__mid_candidate",9,"ENSG00000060718",4.79811514543453
"KTN302__mid_candidate",10,"ENSG00000029993",-4.66183142548343
"KTN302__mid_candidate",11,"ENSG00000184432",-4.61492561526607
"KTN302__mid_candidate",12,"ENSG00000113140",4.58523335623298
"KTN302__mid_candidate",13,"ENSG00000106624",4.5550550856441
"KTN302__mid_candidate",14,"ENSG00000169245",4.53867440415494
"KTN302__mid_candidate",15,"ENSG00000112378",-4.44427078635767
"KTN302__mid_candidate",16,"ENSG00000108821",4.43107309512562
"KTN302__mid_candidate",17,"ENSG00000130816",-4.42243314697023
"KTN302__mid_candidate",18,"ENSG00000132465",4.3637239162295
"KTN302__mid_candidate",19,"ENSG00000137673",4.36046388888849
"KTN302__mid_candidate",20,"ENSG00000096696",-4.32570826076037
"KTN302__mid_candidate",21,"ENSG00000173369",4.31063638227218
"KTN302__mid_candidate",22,"ENSG00000214535",-4.30869852700924
"KTN302__mid_candidate",23,"ENSG00000230837",-4.27117833775943
"KTN302__mid_candidate",24,"ENSG00000164692",4.2599838627365
"KTN302__mid_candidate",25,"ENSG00000166347",-4.18534105219004
"KTN302__mid_candidate",26,"ENSG00000131747",-4.17760971804946
"KTN302__mid_candidate",27,"ENSG00000119922",4.15786617941535
"KTN302__mid_candidate",28,"ENSG00000132432",-4.14779647529066
"KTN302__mid_candidate",29,"ENSG00000137573",4.11034834859343
"KTN302__mid_candidate",30,"ENSG00000150687",4.07656290711871
"KTN302__mid_candidate",31,"ENSG00000026025",4.01637815442602
"KTN302__mid_candidate",32,"ENSG00000196628",3.99245414591029
"KTN302__mid_candidate",33,"ENSG00000176978",3.96884131666393
"KTN302__mid_candidate",34,"ENSG00000156482",-3.96546888047403
"KTN302__mid_candidate",35,"ENSG00000204580",-3.9520282480587
"KTN302__mid_candidate",36,"ENSG00000125304",-3.94546650883935
"KTN302__mid_candidate",37,"ENSG00000114391",-3.92554603237361
"KTN302__mid_candidate",38,"ENSG00000082074",3.91467553241871
"KTN302__mid_candidate",39,"ENSG00000124207",-3.89546656858294
"KTN302__mid_candidate",40,"ENSG00000162599",-3.87239904283305
"KTN302__mid_candidate",41,"ENSG00000125810",3.87160782487608
"KTN302__mid_candidate",42,"ENSG00000108256",-3.84910188807442
"KTN302__mid_candidate",43,"ENSG00000169062",3.83724361067164
"KTN302__mid_candidate",44,"ENSG00000241511",-3.83497364307938
"KTN302__mid_candidate",45,"ENSG00000228971",3.83324918013245
"KTN302__mid_candidate",46,"ENSG00000205426",3.83058659218523
"KTN302__mid_candidate",47,"ENSG00000165929",-3.81904323110404
"KTN302__mid_candidate",48,"ENSG00000111348",3.79499032551294
"KTN302__mid_candidate",49,"ENSG00000198721",3.73922436741118
"KTN302__mid_candidate",50,"ENSG00000163993",-3.72840775911837
"KTN302__mid_candidate",51,"ENSG00000211895",3.72204225898234
"KTN302__mid_candidate",52,"ENSG00000164171",-3.70245412620219
"KTN302__mid_candidate",53,"ENSG00000026508",3.69579957442757
"KTN302__mid_candidate",54,"ENSG00000181524",-3.69259679426885
"KTN302__mid_candidate",55,"ENSG00000112379",-3.69227317127636
"KTN302__mid_candidate",56,"ENSG00000168542",3.69097003639643
"KTN302__mid_candidate",57,"ENSG00000147862",3.67218653981325
"KTN302__mid_candidate",58,"ENSG00000141750",3.67180681130491
"KTN302__mid_candidate",59,"ENSG00000142156",3.64914882190667
"KTN302__mid_candidate",60,"ENSG00000067248",-3.62490688453969
"KTN302__mid_candidate",61,"ENSG00000231991",-3.58326268633847
"KTN302__mid_candidate",62,"ENSG00000249096",3.54489945531895
"KTN302__mid_candidate",63,"ENSG00000133110",3.53093423878132
"KTN302__mid_candidate",64,"ENSG00000106244",-3.5217466979934
"KTN302__mid_candidate",65,"ENSG00000149257",3.51186057053551
"KTN302__mid_candidate",66,"ENSG00000202538",3.51166867899268
"KTN302__mid_candidate",67,"ENSG00000122565",-3.51037692108972
"KTN302__mid_candidate",68,"ENSG00000129009",3.50613559514779
"KTN302__mid_candidate",69,"ENSG00000163875",-3.50253408760939
"KTN302__mid_candidate",70,"ENSG00000100523",3.50054869029509
"KTN302__mid_candidate",71,"ENSG00000150753",-3.49950710078512
"KTN302__mid_candidate",72,"ENSG00000115956",3.48967968625862
"KTN302__mid_candidate",73,"ENSG00000244535",-3.48837101041843
"KTN302__mid_candidate",74,"ENSG00000011465",3.48570896870437
"KTN302__mid_candidate",75,"ENSG00000023445",3.48488104804391
"KTN302__mid_candidate",76,"ENSG00000114315",-3.46362476657577
"KTN302__mid_candidate",77,"ENSG00000134248",-3.45601367095956
"KTN302__mid_candidate",78,"ENSG00000128422",3.45429977754925
"KTN302__mid_candidate",79,"ENSG00000135046",3.4477184512165
"KTN302__mid_candidate",80,"ENSG00000168386",3.44417236527202
"KTN302__mid_candidate",81,"ENSG00000226221",-3.4254605979556
"KTN302__mid_candidate",82,"ENSG00000148773",-3.42524293879597
"KTN302__mid_candidate",83,"ENSG00000243964",-3.40851949531586
"KTN302__mid_candidate",84,"ENSG00000115355",3.40728152851162
"KTN302__mid_candidate",85,"ENSG00000115221",-3.39948619573865
"KTN302__mid_candidate",86,"ENSG00000133606",-3.39295987009879
"KTN302__mid_candidate",87,"ENSG00000148516",3.38789374871069
"KTN302__mid_candidate",88,"ENSG00000138758",3.37156305669563
"KTN302__mid_candidate",89,"ENSG00000133106",3.36701160991889
"KTN302__mid_candidate",90,"ENSG00000118946",3.35356471229785
"KTN302__mid_candidate",91,"ENSG00000062194",-3.35208743549087
"KTN302__mid_candidate",92,"ENSG00000139679",3.3507099244541
"KTN302__mid_candidate",93,"ENSG00000117595",-3.34770489867156
"KTN302__mid_candidate",94,"ENSG00000160213",-3.34011001885542
"KTN302__mid_candidate",95,"ENSG00000232134",-3.33674871647509
"KTN302__mid_candidate",96,"ENSG00000121089",-3.32967909712216
"KTN302__mid_candidate",97,"ENSG00000146648",-3.32692344515385
"KTN302__mid_candidate",98,"ENSG00000092010",-3.32108935588998
"KTN302__mid_candidate",99,"ENSG00000205413",3.30000401882847
"KTN302__mid_candidate",100,"ENSG00000211460",-3.2848996301165
"KTN302__pre_candidate",1,"ENSG00000168542",-10.9287727726246
"KTN302__pre_candidate",2,"ENSG00000164692",-9.02188129518789
"KTN302__pre_candidate",3,"ENSG00000108821",-8.98638374010776
"KTN302__pre_candidate",4,"ENSG00000113140",-8.94964050704207
"KTN302__pre_candidate",5,"ENSG00000249992",8.58802525072407
"KTN302__pre_candidate",6,"ENSG00000133110",-8.26294385937953
"KTN302__pre_candidate",7,"ENSG00000138778",7.96504695888683
"KTN302__pre_candidate",8,"ENSG00000177283",7.65159400141973
"KTN302__pre_candidate",9,"ENSG00000011465",-7.48548617556737
"KTN302__pre_candidate",10,"ENSG00000163359",-7.27366902891494
"KTN302__pre_candidate",11,"ENSG00000163064",7.10531001209711
"KTN302__pre_candidate",12,"ENSG00000066468",6.79557926554978
"KTN302__pre_candidate",13,"ENSG00000066279",6.74284406626942
"KTN302__pre_candidate",14,"ENSG00000143013",6.69607433734169
"KTN302__pre_candidate",15,"ENSG00000154734",6.63867384162537
"KTN302__pre_candidate",16,"ENSG00000139329",-6.54573816191768
"KTN302__pre_candidate",17,"ENSG00000211895",-6.4438291258663
"KTN302__pre_candidate",18,"ENSG00000204262",-6.42660478580764
"KTN302__pre_candidate",19,"ENSG00000153551",6.35132986287659
"KTN302__pre_candidate",20,"ENSG00000147853",6.27799425738649
"KTN302__pre_candidate",21,"ENSG00000183354",6.21849469432168
"KTN302__pre_candidate",22,"ENSG00000068489",6.07183154050261
"KTN302__pre_candidate",23,"ENSG00000163661",6.05634812770961
"KTN302__pre_candidate",24,"ENSG00000133739",6.04155430200915
"KTN302__pre_candidate",25,"ENSG00000179041",5.94009553955752
"KTN302__pre_candidate",26,"ENSG00000116285",5.93830164560063
"KTN302__pre_candidate",27,"ENSG00000210151",-5.93346884691176
"KTN302__pre_candidate",28,"ENSG00000156802",5.92737122048881
"KTN302__pre_candidate",29,"ENSG00000256916",5.89400213063327
"KTN302__pre_candidate",30,"ENSG00000087586",5.88298047961791
"KTN302__pre_candidate",31,"ENSG00000148773",5.85527453218928
"KTN302__pre_candidate",32,"ENSG00000111799",-5.85345092327813
"KTN302__pre_candidate",33,"ENSG00000065911",5.84633430744369
"KTN302__pre_candidate",34,"ENSG00000172243",5.84175935202157
"KTN302__pre_candidate",35,"ENSG00000142156",-5.82541871361632
"KTN302__pre_candidate",36,"ENSG00000215114",5.8129229584228
"KTN302__pre_candidate",37,"ENSG00000185697",5.79459225320892
"KTN302__pre_candidate",38,"ENSG00000147676",5.75837106044231
"KTN302__pre_candidate",39,"ENSG00000116717",5.7508691295146
"KTN302__pre_candidate",40,"ENSG00000134709",5.73527865090982
"KTN302__pre_candidate",41,"ENSG00000164045",5.70699965346971
"KTN302__pre_candidate",42,"ENSG00000210196",5.69211466752889
"KTN302__pre_candidate",43,"ENSG00000085788",5.67801626015185
"KTN302__pre_candidate",44,"ENSG00000145293",5.6629038065377
"KTN302__pre_candidate",45,"ENSG00000122483",5.65580502240397
"KTN302__pre_candidate",46,"ENSG00000113810",5.61799662126914
"KTN302__pre_candidate",47,"ENSG00000095739",5.5762691369103
"KTN302__pre_candidate",48,"ENSG00000137673",5.57476778529393
"KTN302__pre_candidate",49,"ENSG00000118785",5.50594756211219
"KTN302__pre_candidate",50,"ENSG00000181744",5.49023048296385
"KTN302__pre_candidate",51,"ENSG00000154473",5.47840386856597
"KTN302__pre_candidate",52,"ENSG00000072274",5.4632709118285
"KTN302__pre_candidate",53,"ENSG00000101333",5.46120830382966
"KTN302__pre_candidate",54,"ENSG00000139289",5.45829970046561
"KTN302__pre_candidate",55,"ENSG00000257103",5.45541161905633
"KTN302__pre_candidate",56,"ENSG00000156735",5.45164836779574
"KTN302__pre_candidate",57,"ENSG00000119866",5.44994822951694
"KTN302__pre_candidate",58,"ENSG00000107020",5.44797327396325
"KTN302__pre_candidate",59,"ENSG00000080608",5.44768766647107
"KTN302__pre_candidate",60,"ENSG00000134371",5.44434982850286
"KTN302__pre_candidate",61,"ENSG00000136720",5.42402751544862
"KTN302__pre_candidate",62,"ENSG00000163273",5.41137470207341
"KTN302__pre_candidate",63,"ENSG00000145386",5.40716142295767
"KTN302__pre_candidate",64,"ENSG00000178163",5.4016936987593
"KTN302__pre_candidate",65,"ENSG00000175040",5.40168075782733
"KTN302__pre_candidate",66,"ENSG00000138376",5.39919094635125
"KTN302__pre_candidate",67,"ENSG00000100811",5.39774216358055
"KTN302__pre_candidate",68,"ENSG00000271122",5.39141396468616
"KTN302__pre_candidate",69,"ENSG00000205268",5.38839282967768
"KTN302__pre_candidate",70,"ENSG00000119900",5.37342316925293
"KTN302__pre_candidate",71,"ENSG00000104341",5.34086659645687
"KTN302__pre_candidate",72,"ENSG00000180543",5.33747080721654
"KTN302__pre_candidate",73,"ENSG00000147679",5.33273631528035
"KTN302__pre_candidate",74,"ENSG00000080986",5.32775998752561
"KTN302__pre_candidate",75,"ENSG00000171346",5.31399697179024
"KTN302__pre_candidate",76,"ENSG00000139116",5.30546350316977
"KTN302__pre_candidate",77,"ENSG00000135069",5.27717260011056
"KTN302__pre_candidate",78,"ENSG00000136824",5.27166811972128
"KTN302__pre_candidate",79,"ENSG00000130635",-5.26985677049342
"KTN302__pre_candidate",80,"ENSG00000143401",5.24381171750475
"KTN302__pre_candidate",81,"ENSG00000091986",-5.22875369362341
"KTN302__pre_candidate",82,"ENSG00000152284",5.22516581874694
"KTN302__pre_candidate",83,"ENSG00000175063",5.22426470789676
"KTN302__pre_candidate",84,"ENSG00000156110",5.21895865725966
"KTN302__pre_candidate",85,"ENSG00000102265",-5.21391580061453
"KTN302__pre_candidate",86,"ENSG00000197043",5.20041217340134
"KTN302__pre_candidate",87,"ENSG00000101849",5.20027586410898
"KTN302__pre_candidate",88,"ENSG00000117155",5.19905147647177
"KTN302__pre_candidate",89,"ENSG00000082497",5.19806966348154
"KTN302__pre_candidate",90,"ENSG00000135372",5.17457896443342
"KTN302__pre_candidate",91,"ENSG00000162607",5.16088544878418
"KTN302__pre_candidate",92,"ENSG00000253738",5.16035071452855
"KTN302__pre_candidate",93,"ENSG00000254726",5.15807121031024
"KTN302__pre_candidate",94,"ENSG00000132854",5.15494715258664
"KTN302__pre_candidate",95,"ENSG00000132646",5.14921923251857
"KTN302__pre_candidate",96,"ENSG00000080503",5.14430818431114
"KTN302__pre_candidate",97,"ENSG00000164106",5.14271193277096
"KTN302__pre_candidate",98,"ENSG00000034677",5.13202467914033
"KTN302__pre_candidate",99,"ENSG00000134748",5.12630112209358
"KTN302__pre_candidate",100,"ENSG00000139734",5.10505051900209
"KTN615__mid_candidate",1,"ENSG00000181617",9.32951128121539
"KTN615__mid_candidate",2,"ENSG00000126550",8.93781966804209
"KTN615__mid_candidate",3,"ENSG00000145423",7.7532942927082
"KTN615__mid_candidate",4,"ENSG00000118785",7.63209685375394
"KTN615__mid_candidate",5,"ENSG00000185479",7.04067609377331
"KTN615__mid_candidate",6,"ENSG00000106819",6.89641096073414
"KTN615__mid_candidate",7,"ENSG00000138615",6.79936529777992
"KTN615__mid_candidate",8,"ENSG00000139329",6.53724040118456
"KTN615__mid_candidate",9,"ENSG00000154096",6.29495574541424
"KTN615__mid_candidate",10,"ENSG00000091986",6.25381266836442
"KTN615__mid_candidate",11,"ENSG00000166670",6.17534723636419
"KTN615__mid_candidate",12,"ENSG00000204262",5.95276091989156
"KTN615__mid_candidate",13,"ENSG00000106483",5.87325009784498
"KTN615__mid_candidate",14,"ENSG00000152661",5.81398959368857
"KTN615__mid_candidate",15,"ENSG00000110484",-5.81331583159027
"KTN615__mid_candidate",16,"ENSG00000102024",5.70362667407936
